UC_Schritt;Schritt_Text;RA_Klasse;RA_Typ;Stereotype;Beschreibung;Control_Flow_Source;Control_Flow_Type;Control_Flow_Rule;Data_Flow_Entity;Data_Flow_Type;Data_Flow_Description
B4;B4 The system outputs a message to user;MessageManager;Controller;<<controller>>;Manages output function in B4;PARALLEL_MERGE;after_parallel;Rule 4 - Parallel Flow;;;
B4;B4 The system outputs a message to user;MessageManager;Controller;<<controller>>;Manages output function in B4;;;;Message;provide;MessageManager provides Message as result
B4;B4 The system outputs a message to user;Message;Entity;<<entity>>;Domain entity: message;;;;;;
B4;B4 The system outputs a message to user;UserCommunicationBoundary;Boundary;<<boundary>>;Boundary for User communication with system;;;;;;
B5;B5 The system presents cup to user;CupManager;Controller;<<controller>>;Manages present function in B5;MessageManager;sequential;Rule 2;;;
B5;B5 The system presents cup to user;CupManager;Controller;<<controller>>;Manages present function in B5;;;;Cup;provide;CupManager provides Cup as result
B5;B5 The system presents cup to user;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
B5;B5 The system presents cup to user;UserCommunicationBoundary;Boundary;<<boundary>>;Boundary for User communication with system;;;;;;
A1;A1 at B2a Water heater has too little water;WaterManager;Controller;<<controller>>;Abstract controller with functions: monitorTemperature, heatWater, protectOverheating;;;;B2aWaterHeater;use;WaterManager interacts with B2aWaterHeater
A1;A1 at B2a Water heater has too little water;WaterManager;Controller;<<controller>>;Abstract controller with functions: monitorTemperature, heatWater, protectOverheating;;;;TooLittleWater;provide;WaterManager provides TooLittleWater as result
A1;A1 at B2a Water heater has too little water;TooLittleWater;Entity;<<entity>>;Domain entity: toolittlewater;;;;;;
A1.1;A1.1 The system switches off water heater;WaterManager;Controller;<<controller>>;Abstract controller with functions: monitorTemperature, heatWater, protectOverheating;WaterManager;sequential;Rule 2;;;
A1.2;A1.2 The system outputs an error message to user;ErrorMessageManager;Controller;<<controller>>;Manages output function in A1.2;WaterManager;sequential;Rule 2;;;
A1.2;A1.2 The system outputs an error message to user;ErrorMessageManager;Controller;<<controller>>;Manages output function in A1.2;;;;ErrorMessage;provide;ErrorMessageManager provides ErrorMessage as result
A1.2;A1.2 The system outputs an error message to user;ErrorMessage;Entity;<<entity>>;Domain entity: errormessage;;;;;;
A1.2;A1.2 The system outputs an error message to user;UserCommunicationBoundary;Boundary;<<boundary>>;Boundary for User communication with system;;;;;;
A2;A2 at B3b Too little milk;LittleMilk;Entity;<<entity>>;Domain entity: littlemilk;;;;;;
A2.1;A2.1 The system stops milk addition;MilkManager;Controller;<<controller>>;Abstract controller with functions: pourMilk, addMilk, hygieneSafetyControl;;;;MilkAddition;provide;MilkManager provides MilkAddition as result
A2.1;A2.1 The system stops milk addition;MilkAddition;Entity;<<entity>>;Domain entity: milkaddition;;;;;;
A2.2;A2.2 The system outputs an error message to user;ErrorMessageManager;Controller;<<controller>>;Manages output function in A2.2;MilkManager;sequential;Rule 2;;;
A2.2;A2.2 The system outputs an error message to user;ErrorMessageManager;Controller;<<controller>>;Manages output function in A2.2;;;;ErrorMessage;provide;ErrorMessageManager provides ErrorMessage as result
A2.2;A2.2 The system outputs an error message to user;ErrorMessage;Entity;<<entity>>;Domain entity: errormessage;;;;;;
A2.2;A2.2 The system outputs an error message to user;UserCommunicationBoundary;Boundary;<<boundary>>;Boundary for User communication with system;;;;;;
A3;A3 at any time Overheat detected;DetectManager;Controller;<<controller>>;Manages detect function in A3;;;;AnyTime;use;DetectManager interacts with AnyTime
A3;A3 at any time Overheat detected;AnyTime;Entity;<<entity>>;Domain entity: anytime;;;;;;
A3.1;A3.1 The system stops all actions;AllActionsManager;Controller;<<controller>>;Manages stop function in A3.1;DetectManager;sequential;Rule 2;;;
A3.1;A3.1 The system stops all actions;AllActionsManager;Controller;<<controller>>;Manages stop function in A3.1;;;;AllActions;provide;AllActionsManager provides AllActions as result
A3.1;A3.1 The system stops all actions;AllActions;Entity;<<entity>>;Domain entity: allactions;;;;;;
A3.2;A3.2 The system switch of itself;Switch;Entity;<<entity>>;Domain entity: switch;;;;;;
E1;E1 B3-B5 (trigger) User wants sugar in coffee;SugarManager;Controller;<<controller>>;Abstract controller with functions: addSugar, measureSugar, trackInventory;;;;Sugar;provide;SugarManager provides Sugar as result
E1;E1 B3-B5 (trigger) User wants sugar in coffee;Sugar;Entity;<<entity>>;Domain entity: sugar;;;;;;
E1.1;E1.1 The system adds defined amount of sugar to the cup;SugarManager;Controller;<<controller>>;Abstract controller with functions: addSugar, measureSugar, trackInventory;SugarManager;sequential;Rule 2;;;
E1.1;E1.1 The system adds defined amount of sugar to the cup;SugarManager;Controller;<<controller>>;Abstract controller with functions: addSugar, measureSugar, trackInventory;;;;DefinedAmount;provide;SugarManager provides DefinedAmount as result
E1.1;E1.1 The system adds defined amount of sugar to the cup;DefinedAmount;Entity;<<entity>>;Domain entity: definedamount;;;;;;
